Name,Categories,Full Address,Phone,Website,Google Maps URL
Open Hair Cafe,N/A,"4,3(375) · 20–40 zł",N/A,N/A,"https://www.google.com/maps/place/Open+Hair+Cafe/@51.5933874,18.6866523,12z/data=!4m10!1m2!2m1!1sKawiarnia+Sieradz!3m6!1s0x471a5f625d61af91:0xb0d8cc5859034d19!8m2!3d51.5940293!4d18.7378922!15sChFLYXdpYXJuaWEgU2llcmFkeloTIhFrYXdpYXJuaWEgc2llcmFkepIBBGNhZmXgAQA!16s%2Fg%2F1jkz80r3j?entry=ttu&g_ep=EgoyMDI1MDEwMi4wIKXMDSoASAFQAw%3D%3D"
N/A,N/A,N/A,N/A,N/A,"https://www.google.com/maps/search/Kawiarnia+Sieradz/@51.5935432,18.6866522,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDEwMi4wIKXMDSoASAFQAw%3D%3D"
N/A,N/A,N/A,N/A,N/A,"https://www.google.com/maps/@51.5935432,18.6866522,12z?entry=ttu&g_ep=EgoyMDI1MDEwMi4wIKXMDSoASAFQAw%3D%3D"
N/A,N/A,N/A,N/A,N/A,https://consent.google.com/m?continue=https://www.google.com/maps&gl=PL&m=0&pc=m&uxe=eomtm&cm=2&hl=pl&src=1
N/A,N/A,N/A,N/A,N/A,"data:,"
N/A,N/A,N/A,N/A,N/A,"data:,"
N/A,N/A,N/A,N/A,N/A,"data:,"
